lab_no	CINSARC
216-05	0.49995604490109646
2164-05B	0.6746948579720939
2167-07	0.676000796730118
217-17	0.8029940231578395
2171-94	0.6615150343616669
2176-91	-0.6467857546369756
2186-08	0.14653994462946862
2186-93	0.6200665753702191
2189-06	-0.7949380008391401
219-00	-0.6854017099226394
2190-92	0.49183016372673605
2203-97	0.383885003711088
222-92	0.7044903769887391
2220-18	-0.5946610311052293
2244-10	0.6335278897390858
2253-05	-0.8317090220767009
2275-97	-0.553062488357466
2283-03	0.7808088804670515
2283-04	0.46219263270466127
2285-20	-0.27018418030514135
2291-90	0.5804237952696716
2293-06A	-0.6138810394863066
230-03	0.5959763732759379
2308-01	0.13651837527839572
231-14	-0.6392839541770141
232-03	0.7032935977024055
2322-90	0.6264022729374493
2348-99	0.4951229494906197
2360-93	0.7115303462007931
2367-90	-0.8751568973262871
2368-17	-0.04501899114336044
2390-03	0.024992153727038002
2400-04	0.6936734972191525
2422-17	0.5434672265460585
2429-17	0.8781534426891496
2430-90	0.4449778333270437
2433-02	-0.581398935696502
2435-90	-0.8680328102030485
2436-92	-0.7959366502520936
2440-01	0.4107364113121326
2449-13	0.6979426927728478
2457-97	-0.18048728800137093
2458-96	-0.6221149262205561
2465-18	0.6100608762563415
2480-92	-0.533483964063045
2492-91	-0.6696771199208356
2494-18	-0.6159612986463335
2524-89	-0.6326245569890885
253-94	0.7101461277917571
2532-04	0.770670644824196
2535-14	-0.5962937458811521
2537-17	0.4761160893317792
2541-06	-0.7127286293586348
2560-05	0.30112957347756875
2566-11	0.6643890027509916
2569-10	-0.6035653016785866
2576-00	0.4403806043506997
2581-07	-0.721841440688694
2587-03	0.048126076314466165
2591-08	-0.6577473517501782
2605-19	0.4000085635579428
2606-93	-0.7523505978250732
2610-17	0.6332227248528137
2611-96	-0.7255818726875701
2615-08	0.7089907958229543
2631-93	-0.5115134399879687
2638-04	0.5494907616633958
2640-98	-0.9151676187487298
2649-90	-0.6514037237708435
2657-03	-0.7516460176222711
2658-19	-0.7538125490868329
2666-95	-0.639602840737387
2689-88	0.5992778326838594
2697-07	0.45636067811950964
270-10	0.6844726327805899
2723-11	-0.1083093705244978
274-90	0.6817175536748842
2740-12	-0.4825631602421179
2748-21	0.43484597072772
275-99	-0.5058557210349506
2757-14	0.1547802028101322
2777-94	-0.5469152862228269
2781-93	-0.5751770829416213
2790-02	-0.6097394244558489
2792-05	0.45576177907778403
2806-88	0.5460484714175726
2810-92	0.7168536989152617
2816-91	-0.21500184674617978
2818-92	-0.8330685679178726
2819-13	-0.21720410977682789
2828-93	-0.6470312789417978
2829-18	0.7139866609182338
2856-94	0.5721837226241321
2857-05	0.1854772095455614
2857-92	-0.5664137560625504
2868-97	0.5628055068006336
2870-20	-0.2516779236669707
29-89	0.6325139927379929
2915-92	-0.39017629887114913
2926-99	0.465784967173877
2950-10	0.6009169500824041
296-02	0.44416537782975685
2960-95	0.5117028648716196
2971-01	-0.48537500834355063
2977-06	-0.4860238575621571
2978-96	0.34049677133290457
2986-93	-0.6806317230267139
2991-07	-0.7958264226172534
2991-93	-0.44001486718513966
3000-93	-0.49691450361552036
3008-00	-0.8006139026048112
3014-94	0.15160640095056613
3024-11	-0.6271431364160647
3037-12	-0.5226291020497477
304-11	-0.7701846672562529
3047-97	0.38386994603811153
3048-20	-0.5827897405711813
3049-17	-0.3825191755941139
3052-14	-0.5265794517310817
3054-92	-0.5675184714541162
3063-16	-0.498747524548958
3077-07	0.45900018632830064
3077-18	0.7047575948903398
3079-02	0.44732557740045403
3110-06	0.7374669631059404
3112-92	0.5978360556758647
3128-06	0.49799699648756285
313-02	0.3958707892124622
3145-06A	0.6305997182789453
3150-99	-0.6153037693107761
3156-10	0.33771857319244114
3161-95	0.05822592466979473
3165-91	0.0778516708350313
3167-20	0.1833947557060664
3168-18	-0.7323128309740109
3168-20	0.6423393511984038
317-93	0.7304391971272127
3170-20	-0.3706048084473505
3186-04	-0.6885768375483786
3198-93	0.44520821322741166
320-97	0.6587224712814174
3221-20	0.6005896939666918
3222-20	-0.4335971088007072
3223-20	-0.4452260213057418
3225-91	0.6000783788025396
323-95	0.6427929215591884
3234-92	-0.7268496650591025
3238-90	-0.7723628898678467
3239-05	0.5397863921718956
3239-96	-0.552131573263916
325-00	-0.4107106485086261
3252-04	-0.7805698712055482
3269-20	-0.8344320756260872
3276-03	0.17015519757500505
3293-11	-0.438396871501766
3295-11	0.7139960357413494
3301-16	-0.2812044645588275
3301-90	-0.48186182951883444
3306-90	-0.8243423222414821
3314-91	-0.6161716572435458
3317-20	0.49443093557784934
3334-00	0.5461511747823422
3339-93	0.4695047366282234
334-96	0.5900987279386476
3347-19	0.28397062105544213
3363-99	0.636708977108106
3370-22	0.36382284330983566
3371-22	-0.4839149816089766
3372-16	-0.667609047730033
3372-22	-0.4293918747723575
3377-19	-0.11233889872611008
3386-01	0.7272771764648623
3401-00	0.22088190253084256
3415-98	0.3313325891151452
3416-90	0.2950426796542229
3420-93	0.8400888735757231
3425-17	0.754884431541511
3443-00	-0.6601091521023648
3447-95	0.7641899575172377
3451-01	0.5956488229007876
3458-17	-0.7698684093671859
3490-00	-0.7150002044401921
3491-02	-0.7221944865531551
3508-14	0.5104708303001022
351-96	0.3135012194841712
3511-18	0.758795001423688
3521-97	-0.7158961527108761
3526-17	0.673302022864269
3527-15	-0.5447685109450813
353-06	0.41617927240001557
3531-14	-0.29276550296308423
3532-91	0.5447473004951499
3553-91	-0.8411684741539834
3558-91	0.5370692804294765
3586-98	0.5874841846470165
3592-20	-0.3963094736190786
3601-99	-0.5878382025717149
362-94	0.009508377789211736
3632-99	-0.28128757469504667
3645-15	0.3467068150203484
3651-03	0.7447548832923361
3666-20	0.510006299236664
3670-12	-0.2901585784024624
3673-07	-0.08952516069139721
3674-18	-0.8411429245924863
3675-18	-0.7923029106955872
3678-00	-0.09183619261077486
37-09	0.42522991122273524
3727-99	0.2994746740151896
3734-17	0.6344492312986354
3735-04	-0.7880123880139809
3740-06	-0.6541321028514782
3749-08	0.700324568406018
3751-08	0.7457026935563658
3762-07	-0.7132960339652409
3778-20	0.3120650773978756
380-91	0.734897479743204
380-92	0.5401997015297832
3810-19	0.7532449768140043
3823-09	-0.2085697418594098
3824-15	0.6349849539650149
3827-99	0.35193890668853506
3837-01	0.7695282185444342
3847-10	0.6830337287802977
386-09	0.4169114692920416
3861-07	-0.639725040218462
387-01	0.7850136343963755
3874-04	-0.462864736015691
3874-14	0.123603062457249
3892-18	-0.7483102509156867
3910-01	-0.5792765478273316
3913-17	-0.5680071833573319
3929-03	-0.723213323945676
3961-02	0.1558862725125653
3971-00	-0.1808399440353548
398-19	0.6552799320796965
3992-12	-0.6778849704009641
3995-12	-0.373159566386563
4-93	-0.7441234582656143
4011-20	0.5466529352330446
4014-18	0.012414791035665868
402-14	-0.5290743424816987
4021-20	-0.8228942702579104
4048-10	-0.8078126723907937
4052-19	0.7994785505203746
4054-19	-0.6518151532201009
4083-04	0.5234271412060139
409-06	-0.4410038924258043
4096-04	0.7560949364300744
4098-00	-0.7700747405954673
4101-00	-0.7210944343471645
4111-04	0.21111696059769544
4113-04	0.413162926389692
412-16	0.7070159653099071
4127-15	0.30459100408783774
413-16	-0.3074362023607372
413-94	-0.2766205630621974
4150-18	0.026057271441573215
416-14	-0.43806536972168253
4161-00	0.8252744616414639
4184-00	0.6645971651827192
4191-12	0.6244550922975227
4194-07	-0.400650322566063
4214-16	0.6895298610704723
4218-08	0.7350182061146782
423-04	-0.8191034213916524
423-06	-0.46941131324584295
424-06	-0.5194860838564457
4246-05	-0.7884760135645417
425-06	-0.4437633051170819
4257-15	-0.7135022871020977
426-06	-0.4768545007080438
427-06	-0.4765512282267439
4272-20	-0.07095603966535649
4274-20	-0.8267509506036222
428-06	-0.3945229152407327
430-94	-0.5716157493659421
4314-17	0.35090486864672565
4318-10	0.08166953189077461
4320-18	0.26284342410348077
434-94	-0.7652922396297488
4356-08	-0.417256583372551
436-98	-0.5473298094856999
4377-20	-0.6164778462682508
4392-12	-0.21329215373781482
4418-15	0.6507134243598973
442-14	-0.5858103520619531
4448-05	0.5119932836907919
445-18	-0.7774498050153467
4450-04	0.7244619426625426
4451-17	0.7104741455766553
446-01	-0.135719750406171
446-05	0.7327993263302041
447-15	-0.6258174921882242
447-99	0.8112176299406835
4525-08	0.18458793443378804
4529-20	-0.46548748070051293
4530-08	0.4941257492620171
