lab_no,shape,hex
2253-05,B,#1BB39E
3824-15,B,#1BB39E
1142-02,C,#1BB39E
1898-93,C,#1BB39E
1998-90,C,#1BB39E
2819-13,A,#00758B
6892-14,A,#00758B
6388-14,A,#00758B
6893-14,A,#00758B
6387-14,A,#00758B
6389-14,A,#00758B
6894-14,A,#00758B
6891-14,A,#00758B
6159-13,A,#00758B
6158-13,A,#00758B
1429-88,A,#D0603C
8346-18,A,#D0603C
5908-19,A,#D0603C
8345-18,A,#D0603C
53-17,C,#00758B
2537-17,C,#00758B
4418-15,C,#00758B
1893-03,C,#00758B
3929-03,C,#00758B
1209-95,C,#00758B
727-90,C,#00758B
2666-95,C,#00758B
1142-17,C,#00758B
3913-17,C,#00758B
6192-11,C,#00758B
8729-18,C,#00758B
4257-15,C,#00758B
3295-11,B,#994DB1
37-09,B,#994DB1
5413-09,B,#994DB1
7871-16,B,#994DB1
1417-99,B,#994DB1
2689-88,B,#994DB1
3110-06,B,#994DB1
5056-07,B,#994DB1
2190-92,B,#994DB1
816-11,B,#994DB1
1719-17,B,#994DB1
380-92,B,#994DB1
1660-05,B,#994DB1
665-16,B,#994DB1
5728-15,B,#994DB1
5061-16,B,#994DB1
618-16,B,#994DB1
6559-18,B,#994DB1
5740-16,B,#994DB1
3415-98,B,#994DB1
896-99,B,#994DB1
2829-18,B,#994DB1
7334-16,B,#994DB1
8221-19,B,#994DB1
4450-04,B,#994DB1
217-17,B,#994DB1
1266-93,B,#994DB1
7756-18,B,#994DB1
3526-17,B,#994DB1
3077-07,B,#994DB1
1485-88,B,#994DB1
1116-05,B,#994DB1
4218-08,B,#994DB1
1864-88,B,#994DB1
3447-95,B,#994DB1
5830-18,B,#994DB1
9111-16,B,#994DB1
2137-88,B,#994DB1
1064-18,B,#994DB1
9323-17,B,#994DB1
4214-16,B,#994DB1
386-09,B,#994DB1
3425-17,B,#994DB1
10734-18,B,#994DB1
2868-97,B,#994DB1
3778-20,B,#994DB1
574-03,B,#994DB1
2146-03,B,#994DB1
3749-08,B,#994DB1
623-19,B,#994DB1
1155-89,B,#994DB1
2023-98,B,#994DB1
10331-17,B,#994DB1
6596-18,B,#994DB1
6689-15,B,#994DB1
3225-91,B,#994DB1
253-94,B,#994DB1
2400-04,B,#994DB1
2171-94,B,#994DB1
1728-05,B,#994DB1
2348-99,B,#994DB1
964-94,B,#994DB1
1262-19,B,#994DB1
3401-00,B,#994DB1
2146-02,B,#994DB1
334-96,B,#994DB1
3558-91,B,#994DB1
891-93,B,#994DB1
3420-93,B,#994DB1
789-00,B,#994DB1
4894-19,B,#994DB1
4161-00,B,#994DB1
2610-17,B,#994DB1
6377-17,B,#994DB1
413-94,B,#994DB1
9241-18,B,#994DB1
935-93,B,#994DB1
1015-01,B,#994DB1
4849-16,B,#994DB1
2697-07,B,#994DB1
6797-15,B,#994DB1
2167-07,B,#994DB1
313-02,B,#994DB1
2638-04,B,#994DB1
677-00,B,#994DB1
1518-00,B,#994DB1
670-17,B,#994DB1
3198-93,B,#994DB1
3837-01,B,#994DB1
320-97,B,#994DB1
2457-97,B,#994DB1
3751-08,B,#994DB1
171-01,B,#994DB1
8525-19,B,#994DB1
626-01,B,#994DB1
5196-08,B,#994DB1
1962-91,B,#994DB1
1230-18,B,#994DB1
4748-20,B,#D4924D
669-17,B,#D4924D
2220-18,B,#D4924D
9044-15,B,#D4924D
7405-17,B,#D4924D
3592-20,B,#D4924D
4529-20,B,#D4924D
4054-19,B,#D4924D
