lab_no	Silhouette_Score
4011-20	-0.0023594616761249193
5184-19	0.040556949876678974
3317-20	-0.053905051827215306
5022-20	-0.0436754411105307
2390-03	0.07777347800659135
2283-04	-0.012225277260353466
323-95	-0.0503719961942179
1414-00	0.01736496949201809
11378-18	-0.003212434412012619
4-93	-0.17427863584170314
211-99	-0.21462799959427903
4246-05	-0.10488848236687431
2566-11	-0.0038999255178347276
4127-15	-0.0906062520440461
1618-90	-0.016561504904523214
1787-94	-0.10532251357934476
8422-14	-0.089212609225846
3301-16	-0.05298021626887863
8058-15	-0.03378406679254707
3508-14	-0.03985969691801229
7933-17	-0.03831113920399839
689-01	-0.014069522705746759
4448-05	-0.2423254767094563
1248-02	-0.04777127868750896
1775-03	-0.037115334497913995
2308-01	-0.12860142042034362
3847-10	-0.0375860195183181
3161-95	-0.10043881717588593
101-11	0.014781255722933368
1812-02	-0.09684298785089133
3961-02	-0.08677754591354944
317-93	-0.04997462637360432
1998-91	-0.11614269907270658
222-92	-0.04535709800989046
827-03	-0.02137193115012084
3451-01	-0.10328540293605847
126-11	-0.12280759891405607
274-90	0.013727836061153229
2856-94	-0.09747124989481455
2203-97	-0.035236480656991184
2576-00	-0.08279303100584762
1889-94	-0.15490427072391474
6529-12	-0.05061904355511293
2615-08	-0.06737229635250948
230-03	-0.04684637915146157
5715-15	-0.03628144522040892
6063-16	-0.03466002171209236
3077-18	0.024336152721752425
1347-93	-0.02596013639739255
2360-93	0.007057887337850005
631-91	-0.02228949798326633
4525-08	-0.09666586512665468
1784-05	-0.07587739968161465
5061-18	0.004072872658402351
1459-02	-0.1339396511315129
83-91	-0.11266620703855611
1659-94	-0.00430396291908068
3079-02	-0.14839794862512015
3156-10	-0.03495772615919285
1634-04	-0.0829395877245396
2792-05	-0.07126655690376098
3339-93	-0.015721716086329426
3645-15	-0.19227182900342998
270-10	0.015100363106404805
7016-16	-0.12109535830274508
7965-19	-0.0939605938441925
4083-04	-0.00701180558249605
81-05	-0.06884000839094476
11834-22	-0.0239138290313093
5376-13	-0.018697931443637048
3443-00	0.03915245981880212
2275-97	0.01051328270621125
2436-92	-0.005280645905036305
3601-99	-0.07893753793047778
679-07	-0.01748134071329784
2253-05	-0.06206439217637127
3824-15	-0.0693388102933224
2440-01	0.15136775127501373
7084-14	0.1694953224581772
2087-93	0.2223577995028424
6161-13	0.15192779197593523
2492-91	-0.10363814090564225
362-94	0.21568479572308732
351-96	0.20690238917794937
1031-14	0.20968453443531018
2723-11	0.1901513086698433
7368-16	0.170336416328174
4876-16	0.21250631524302785
3276-03	0.18364596011387285
610-14	0.16667378464210783
3531-14	0.21679249027980843
650-90	-0.03735014229861652
3666-20	0.012313241961288773
232-03	-0.20365061157425263
3810-19	-0.05499223056619814
3377-19	-0.03646139901404018
1195-97	-0.00882426821949275
3532-91	-0.060725321335368926
4675-07	-0.030182566084844865
4113-04	-0.12348955778616569
3491-02	-0.22257770908727809
5552-17	-0.15364424749203465
2367-90	-0.2730165895579656
3511-18	-0.07796952803045147
2146-18	0.027328543692437958
4052-19	-0.11538252337124509
2150-02	-0.007855942229471615
4318-10	-0.046921476780440355
10136-17	0.04361503876516229
753-92	-0.14199423779669973
353-06	-0.07485439320021811
1359-89	0.24375865589869325
3239-96	0.23048718019233735
1879-92	0.13069957212805922
11888-19	-0.027163336668027612
2828-93	0.0602717285357267
8751-16	0.1028730369561377
499-20	0.12953473543929525
541-94	0.15584643744649457
2062-95	0.09182662869484232
3165-91	-0.05494041302172838
47-94	0.06218325712405197
8269-18	0.12313797597699136
2640-98	0.1547301284102295
6197-20	0.18737523687612087
10639-17	0.0034358114691141932
1824-93	0.1283241287339724
2818-92	0.04215121480408263
1731-18	0.12413646267748593
1201-03	0.09716463987810468
1142-02	0.11105104474652631
1898-93	0.053391728625117
1998-90	0.12045725502889859
1388-09	-0.11971390952984776
3992-12	-0.07683695041816865
3024-11	-0.08073407354520151
3995-12	-0.0670831240083573
3037-12	-0.034590510800130314
4985-07	-0.013440322933039994
5534-07	-0.06540889397799415
4272-20	-0.05424345737588046
5373-10	0.06413492514100777
416-14	-0.003687987157389741
